strain, stress out MPa, stress in MPa, strain rate 1/s
0.0030015,206.25,206.85,633.93,0.00032255,-0.0002365,8.5798e-05
0.0032154,226.78,225.74,658.7,0.00034002,-0.00024609,9.4359e-05
0.0034376,247.97,246.48,683.03,0.00035784,-0.00025527,0.0001032
0.0036677,269.72,268.81,706.66,0.00037587,-0.00026397,0.00011228
0.0039055,292.05,292.2,729.29,0.00039386,-0.00027219,0.0001216
0.0041507,315.07,315.99,750.61,0.00041159,-0.00027999,0.00013122
0.0044027,338.96,339.6,770.37,0.00042889,-0.00028742,0.0001412
0.0046611,363.87,362.69,788.43,0.00044567,-0.00029455,0.00015162
0.0049252,389.86,385.26,804.81,0.00046195,-0.00030137,0.00016249
0.0051946,416.83,407.57,819.65,0.0004778,-0.00030788,0.00017378
0.0054688,444.53,429.96,833.16,0.00049334,-0.00031403,0.00018538
0.0057474,472.54,452.67,845.59,0.00050861,-0.00031978,0.00019712
0.00603,500.34,475.67,857.19,0.00052359,-0.00032511,0.00020877
0.0063164,527.34,498.58,868.17,0.00053816,-0.00033007,0.0002201
0.0066065,553,520.78,878.71,0.00055215,-0.00033473,0.00023087
0.0069002,576.86,541.56,889.01,0.00056538,-0.00033921,0.00024091
0.0071973,598.56,560.37,899.31,0.00057775,-0.00034366,0.00025004
0.0074981,617.89,577,909.91,0.0005893,-0.00034819,0.0002582
0.0078025,634.75,591.68,921.18,0.00060017,-0.00035285,0.00026532
0.008111,649.15,604.97,933.54,0.00061065,-0.0003577,0.00027142
0.0084239,661.17,617.6,947.33,0.00062104,-0.00036272,0.00027654
0.0087418,670.99,630.16,962.81,0.00063158,-0.00036793,0.00028073
0.0090652,678.8,642.9,980.09,0.00064242,-0.00037335,0.00028409
0.0093948,684.86,655.58,999.06,0.00065352,-0.00037905,0.00028672
0.0097311,689.45,667.52,1019.5,0.00066469,-0.00038513,0.00028874
0.010074,692.88,677.8,1041,0.00067569,-0.00039173,0.00029028
0.010425,695.44,685.56,1063.3,0.00068627,-0.00039896,0.00029145
0.010784,697.36,690.3,1086.1,0.0006963,-0.00040689,0.00029236
0.01115,698.84,692.1,1109.4,0.0007058,-0.00041553,0.00029309
0.011524,699.97,691.63,1133.4,0.000715,-0.00042482,0.00029367
0.011907,700.78,690.01,1158.3,0.00072425,-0.00043464,0.00029413
0.012298,701.26,688.51,1184.6,0.00073393,-0.00044484,0.00029444
0.012699,701.36,688.22,1212.3,0.00074438,-0.0004553,0.0002946
0.013109,701.09,689.74,1241.8,0.00075578,-0.00046593,0.00029461
0.013529,700.52,693.08,1273,0.0007681,-0.00047673,0.0002945
0.013961,699.79,697.69,1305.4,0.00078114,-0.0004877,0.00029432
0.014403,699.13,702.69,1338.6,0.00079457,-0.00049891,0.00029417
0.014857,698.78,707.2,1372,0.00080806,-0.00051036,0.00029415
0.015322,698.99,710.6,1405.1,0.0008213,-0.00052203,0.00029438
0.015798,699.94,712.79,1437.4,0.00083417,-0.00053383,0.00029492
0.016286,701.67,714.16,1468.7,0.00084666,-0.0005456,0.00029579
0.016784,704.14,715.47,1499,0.00085889,-0.00055713,0.00029698
0.017292,707.15,717.57,1528.2,0.00087104,-0.00056824,0.0002984
0.01781,710.43,721.07,1556.6,0.00088322,-0.00057878,0.00029994
0.018337,713.7,726.17,1584.2,0.00089544,-0.00058869,0.00030148
0.018874,716.65,732.52,1611,0.00090757,-0.00059797,0.00030289
0.019421,719.07,739.34,1636.8,0.00091935,-0.0006067,0.00030408
0.019976,720.81,745.6,1661.5,0.00093044,-0.00061496,0.00030499
0.020539,721.83,750.36,1684.7,0.0009405,-0.00062283,0.00030559
0.02111,722.15,753.01,1706.1,0.00094928,-0.0006303,0.0003059
0.021689,721.89,753.45,1725.3,0.00095665,-0.00063731,0.00030597
0.022274,721.19,752.05,1742,0.00096263,-0.00064369,0.00030585
0.022864,720.24,749.54,1756,0.00096731,-0.00064925,0.00030562
0.023459,719.22,746.8,1767.2,0.00097088,-0.00065379,0.00030537
0.024057,718.32,744.54,1775.4,0.00097346,-0.00065714,0.00030518
0.024659,717.73,743.18,1780.5,0.00097514,-0.00065922,0.00030511
0.025261,717.57,742.73,1782.5,0.00097594,-0.00066002,0.00030522
0.025865,717.91,742.89,1781.4,0.0009758,-0.00065962,0.00030555
0.026467,718.75,743.17,1777.2,0.00097466,-0.00065817,0.00030609
0.027069,720,743.13,1770.1,0.00097248,-0.00065581,0.00030681
0.027667,721.47,742.53,1760.6,0.0009693,-0.0006527,0.00030762
0.028263,722.98,741.39,1749.1,0.00096526,-0.00064895,0.00030845
0.028855,724.31,740.07,1736,0.00096056,-0.00064464,0.0003092
0.029442,725.31,739.05,1721.9,0.00095549,-0.00063981,0.00030981
0.030025,725.92,738.83,1707.3,0.0009503,-0.00063454,0.00031025
0.030603,726.22,739.78,1692.5,0.00094524,-0.00062888,0.00031056
0.031177,726.37,741.98,1677.9,0.00094045,-0.00062298,0.0003108
0.031746,726.58,745.24,1663.6,0.00093605,-0.000617,0.00031107
0.03231,727.09,749.18,1650,0.00093208,-0.00061115,0.00031146
0.032871,728.03,753.29,1637.1,0.00092855,-0.00060569,0.00031204
0.033427,729.42,757.12,1625.5,0.00092551,-0.00060082,0.00031281
0.03398,731.16,760.36,1615.5,0.000923,-0.00059674,0.00031373
